[18:11:22] [2J[HCONTAINER ID   NAME                                                                                                                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
[18:11:23] 80356d8579e7   orderer3.identity.com                                                                                                 0.33%     21.95MiB / 15.49GiB   0.14%     14.5MB / 15.9MB   0B / 3.33MB       13
[18:11:23] 0d70ef5caadc   orderer2.identity.com                                                                                                 0.51%     24.75MiB / 15.49GiB   0.16%     26.8MB / 28.1MB   0B / 3.33MB       14
[18:11:23] 05b342d7b3f5   orderer1.identity.com                                                                                                 0.32%     19.55MiB / 15.49GiB   0.12%     14.3MB / 14.3MB   0B / 3.33MB       14
[18:11:23] a0c0c45b9872   peer2.org3.identity.com                                                                                               2.24%     97.58MiB / 15.49GiB   0.62%     44.3MB / 39.6MB   4.1kB / 10.7MB    14
[18:11:23] 8faec6f34f3c   peer1.org3.identity.com                                                                                               2.47%     112.3MiB / 15.49GiB   0.71%     44.3MB / 38.3MB   0B / 10.7MB       14
[18:11:23] 337e8f6db09e   peer2.org2.identity.com                                                                                               2.20%     104MiB / 15.49GiB     0.66%     44.6MB / 38.5MB   0B / 11.3MB       14
[18:11:23] 5e74419647c4   peer1.org2.identity.com                                                                                               2.36%     99.64MiB / 15.49GiB   0.63%     44.6MB / 39.7MB   0B / 11.2MB       15
[18:11:23] 865404ecb048   peer2.org1.identity.com                                                                                               2.36%     103.6MiB / 15.49GiB   0.65%     44.7MB / 38.6MB   0B / 11.2MB       14
[18:11:23] c749ab6484ff   peer1.org1.identity.com                                                                                               2.51%     103.4MiB / 15.49GiB   0.65%     44.6MB / 39.5MB   0B / 11.2MB       15
[18:11:23] dbd9808b2b8f   peer2.org3.identity.com.couchdb                                                                                       0.78%     73.16MiB / 15.49GiB   0.46%     1.04MB / 880kB    16.4kB / 13.1MB   35
[18:11:23] 6e440a11eb1b   peer1.org3.identity.com.couchdb                                                                                       0.80%     73.32MiB / 15.49GiB   0.46%     1.04MB / 875kB    0B / 13.1MB       35
[18:11:23] ab4dcccc1078   peer2.org2.identity.com.couchdb                                                                                       0.85%     75.16MiB / 15.49GiB   0.47%     1.19MB / 1.03MB   0B / 15.2MB       35
