[10:14:10] [2J[HCONTAINER ID   NAME                                                                                                                   CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
[10:14:12] 8ad7b24c249f   dev-peer1.org2.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     11.16MiB / 2GiB       0.54%     958kB / 585kB     8.27MB / 0B       7
[10:14:12] 17610af052b5   network1                                                                                                               0.00%     23.48MiB / 15.49GiB   0.15%     518kB / 81.3kB    24.5MB / 0B       1
[10:14:12] d995ae7fc50e   ca1.org3.digiprism.com                                                                                                 0.00%     4.605MiB / 15.49GiB   0.03%     400kB / 23.2kB    442kB / 77.8kB    13
[10:14:12] 71f7a3baaa1c   ca1.org2.digiprism.com                                                                                                 0.00%     4.422MiB / 15.49GiB   0.03%     389kB / 0B        197kB / 0B        13
[10:14:12] 914cc255f711   ca1.org1.digiprism.com                                                                                                 0.00%     4.023MiB / 15.49GiB   0.03%     391kB / 0B        197kB / 336kB     13
[10:14:12] c9d218e57b7e   orderer3.digiprism.com                                                                                                 0.29%     51.88MiB / 15.49GiB   0.33%     83.5MB / 82.3MB   31.7MB / 2.1MB    14
[10:14:12] c534cf5d1cdb   orderer2.digiprism.com                                                                                                 0.31%     56.87MiB / 15.49GiB   0.36%     84.9MB / 85.2MB   31.7MB / 2.1MB    14
[10:14:12] 32b927f658fc   orderer1.digiprism.com                                                                                                 0.49%     64.35MiB / 15.49GiB   0.41%     163MB / 164MB     31.7MB / 2.1MB    14
[10:14:12] b2af7093fd67   peer2.org3.digiprism.com                                                                                               2.55%     103.4MiB / 15.49GiB   0.65%     239MB / 238MB     9.89MB / 3.86MB   15
[10:14:12] 5aade1ddfd5f   peer1.org3.digiprism.com                                                                                               3.15%     107.6MiB / 15.49GiB   0.68%     238MB / 240MB     14.3MB / 3.88MB   14
[10:14:12] 5539e7d946fd   peer2.org2.digiprism.com                                                                                               3.04%     109.9MiB / 15.49GiB   0.69%     239MB / 238MB     10.9MB / 4.29MB   14
[10:14:12] 6f0248b179db   peer1.org2.digiprism.com                                                                                               2.36%     123.1MiB / 15.49GiB   0.78%     238MB / 239MB     9.06MB / 4.32MB   14
[10:14:12] 95d072f44669   peer2.org1.digiprism.com                                                                                               3.80%     120.1MiB / 15.49GiB   0.76%     239MB / 238MB     11MB / 4.32MB     14
[10:14:12] 76f27d06fa8d   peer1.org1.digiprism.com                                                                                               2.18%     139MiB / 15.49GiB     0.88%     242MB / 278MB     11.8MB / 4.31MB   15
[10:14:12] 0dedab4b2e6e   peer2.org3.digiprism.com.couchdb                                                                                       4.49%     81.39MiB / 15.49GiB   0.51%     1.08MB / 736kB    9.81MB / 13.4MB   35
[10:14:12] 1758ec2bbecd   peer1.org3.digiprism.com.couchdb                                                                                       2.71%     83.05MiB / 15.49GiB   0.52%     1.08MB / 737kB    7.95MB / 13MB     35
