[10:51:42] [2J[HCONTAINER ID   NAME                                                                                                                   CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
[10:51:42] 8ca35365aa66   peer2.org1.digiprism.com.couchdb                                                                                       1.19%     110.4MiB / 15.49GiB   0.70%     59.7MB / 43.9MB   55.9MB / 981MB   35
[10:51:42] 8b12f7812104   peer1.org1.digiprism.com.couchdb                                                                                       1.19%     113.3MiB / 15.49GiB   0.71%     73.1MB / 74.3MB   60.3MB / 983MB   35
[10:51:42] 26cfa7762b4a   minifab                                                                                                                0.00%     13.88MiB / 15.49GiB   0.09%     526B / 0B         0B / 0B          2
[10:51:43] [2J[HCONTAINER ID   NAME                                                                                                                   CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
[10:51:43] f843f967e4d3   explorer.network1                                                                                                      0.08%     152.9MiB / 15.49GiB   0.96%     1.97GB / 620MB    103MB / 155MB    35
[10:51:43] ec0fb0d1225d   explorerdb.network1                                                                                                    0.03%     49.04MiB / 15.49GiB   0.31%     136MB / 820MB     52.6MB / 731MB   9
[10:51:43] b5df462694ad   dev-peer2.org2.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.246MiB / 2GiB       0.30%     57MB / 17.2MB     8.08MB / 0B      12
[10:51:43] 97a57b753fbc   dev-peer1.org1.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.359MiB / 2GiB       0.31%     35.9MB / 11.6MB   7.54MB / 0B      12
[10:51:43] 49169ba2e361   dev-peer2.org3.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.391MiB / 2GiB       0.31%     68.7MB / 20.5MB   6.91MB / 0B      12
[10:51:43] 4806414fc675   dev-peer2.org1.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.344MiB / 2GiB       0.31%     78.7MB / 23.2MB   7.31MB / 0B      12
[10:51:43] 6f065b60b272   dev-peer1.org3.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.238MiB / 2GiB       0.30%     46.4MB / 14.5MB   6.76MB / 0B      12
[10:51:43] a358898e2b29   dev-peer1.org2.digiprism.com-identitychaincode1_1.0-2729ce6234c7e86a08ffbe222b20e2d50622d1631e7f5d61fb60e9156d49529b   0.00%     6.355MiB / 2GiB       0.31%     57.9MB / 17.6MB   6.66MB / 0B      12
[10:51:43] 04c27243e826   dev-peer2.org1.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     5.043MiB / 2GiB       0.25%     24.8MB / 8.16MB   4.34MB / 0B      12
[10:51:43] 4335f8b51d4a   dev-peer1.org2.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     5.297MiB / 2GiB       0.26%     24.8MB / 8.15MB   4.03MB / 0B      13
[10:51:43] 637e30ee7d33   dev-peer1.org3.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     5.02MiB / 2GiB        0.25%     24.8MB / 8.16MB   3.63MB / 0B      13
[10:51:43] 1665e3ea088a   dev-peer2.org2.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     4.844MiB / 2GiB       0.24%     24.8MB / 8.17MB   4.69MB / 0B      13
[10:51:43] 61b92085d757   dev-peer1.org1.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     5.117MiB / 2GiB       0.25%     24.8MB / 8.16MB   4.29MB / 0B      13
[10:51:43] 3782c13a9b5e   dev-peer2.org3.digiprism.com-simple_1.0-9f3cb6e6005e8d60de01867e01d785ddf3b969869223a87107792a9614841f26               0.00%     5.008MiB / 2GiB       0.24%     24.8MB / 8.16MB   3.83MB / 0B      13
[10:51:43] cad2d1e41032   network1                                                                                                               0.00%     85.86MiB / 15.49GiB   0.54%     199MB / 137MB     231MB / 444MB    1
[10:51:43] b69f0e2c3cb9   ca1.org3.digiprism.com                                                                                                 0.00%     3.875MiB / 15.49GiB   0.02%     17.4MB / 0B       254kB / 352kB    13
[10:51:43] 7840221811b8   ca1.org2.digiprism.com                                                                                                 0.00%     4.199MiB / 15.49GiB   0.03%     17.4MB / 0B       393kB / 352kB    13
[10:51:43] 34d9e03dfbc4   ca1.org1.digiprism.com                                                                                                 0.00%     5.906MiB / 15.49GiB   0.04%     17.4MB / 0B       18.7MB / 352kB   13
[10:51:43] 4902852ba51e   orderer3.digiprism.com                                                                                                 0.31%     37.89MiB / 15.49GiB   0.24%     1.53GB / 1.48GB   3.4MB / 128MB    15
[10:51:43] 488069fcea0c   orderer2.digiprism.com                                                                                                 0.49%     51.3MiB / 15.49GiB    0.32%     2.97GB / 3.06GB   17MB / 131MB     15
[10:51:43] f53c24dc9cb5   orderer1.digiprism.com                                                                                                 0.29%     39.86MiB / 15.49GiB   0.25%     1.54GB / 1.52GB   25.6MB / 128MB   15
